Date,Ålder_0_9,Ålder_10_19,Ålder_20_29,Ålder_30_39,Ålder_40_49,Ålder_50_59,Ålder_60_69,Ålder_70_79,Ålder_80_90,Ålder_90_plus,Uppgift saknas,Ålder_80_89,80+
2020-08-12,535.0,3542.0,12943.0,12934.0,13884.0,14962.0,8536.0,5960.0,0.0,3559.0,18.0,6582.0,10141.0
2020-08-13,545.0,3580.0,13066.0,13018.0,13935.0,15011.0,8557.0,5966.0,0.0,3562.0,18.0,6594.0,10156.0
2020-08-14,552.0,3619.0,13222.0,13105.0,13995.0,15056.0,8582.0,5980.0,0.0,3564.0,18.0,6601.0,10165.0
2020-08-17,559.0,3686.0,13475.0,13276.0,14111.0,15137.0,8616.0,5996.0,0.0,3565.0,18.0,6606.0,10171.0
2020-08-18,560.0,3701.0,13519.0,13305.0,14143.0,15166.0,8626.0,5999.0,0.0,3569.0,19.0,6612.0,10181.0
2020-08-19,563.0,3718.0,13566.0,13346.0,14176.0,15199.0,8636.0,6003.0,0.0,3572.0,18.0,6614.0,10186.0
2020-08-20,569.0,3755.0,13705.0,13421.0,14238.0,15242.0,8649.0,6018.0,0.0,3576.0,18.0,6619.0,10195.0
2020-08-21,575.0,3780.0,13770.0,13477.0,14279.0,15284.0,8664.0,6023.0,0.0,3578.0,18.0,6620.0,10198.0
2020-08-24,584.0,3840.0,13968.0,13611.0,14369.0,15366.0,8710.0,6041.0,0.0,3581.0,18.0,6633.0,10214.0
2020-08-25,591.0,3866.0,14010.0,13651.0,14394.0,15385.0,8717.0,6042.0,0.0,3581.0,18.0,6636.0,10217.0
2020-08-26,595.0,3883.0,14062.0,13694.0,14418.0,15403.0,8728.0,6046.0,0.0,3583.0,18.0,6642.0,10225.0
2020-08-27,596.0,3786.0,13374.0,12874.0,13726.0,14814.0,8490.0,5996.0,0.0,3587.0,18.0,6637.0,10224.0
2020-08-28,597.0,3803.0,13394.0,12891.0,13732.0,14826.0,8481.0,5987.0,0.0,3589.0,18.0,6640.0,10229.0
2020-08-31,604.0,3850.0,13507.0,12964.0,13795.0,14888.0,8511.0,5996.0,0.0,3596.0,18.0,6650.0,10246.0
2020-09-01,611.0,3874.0,13540.0,12995.0,13814.0,14899.0,8522.0,6000.0,0.0,3596.0,18.0,6652.0,10248.0
2020-09-02,612.0,3888.0,13551.0,12981.0,13803.0,14900.0,8524.0,6002.0,0.0,3598.0,18.0,6655.0,10253.0
2020-09-03,617.0,3915.0,13593.0,13018.0,13827.0,14927.0,8540.0,6007.0,0.0,3600.0,18.0,6667.0,10267.0
2020-09-04,624.0,3942.0,13659.0,13073.0,13860.0,14963.0,8558.0,6014.0,0.0,3601.0,18.0,6673.0,10274.0
2020-09-07,632.0,4017.0,13811.0,13166.0,13947.0,15041.0,8604.0,6033.0,0.0,3607.0,18.0,6682.0,10289.0
2020-09-08,636.0,4032.0,13846.0,13196.0,13970.0,15059.0,8620.0,6039.0,0.0,3608.0,18.0,6683.0,10291.0
2020-09-09,638.0,4057.0,13881.0,13223.0,13997.0,15088.0,8632.0,6049.0,0.0,3609.0,19.0,6687.0,10296.0
2020-09-10,645.0,4091.0,13956.0,13282.0,14060.0,15122.0,8652.0,6058.0,0.0,3610.0,21.0,6697.0,10307.0
2020-09-11,647.0,4130.0,14045.0,13335.0,14106.0,15165.0,8676.0,6065.0,0.0,3611.0,19.0,6706.0,10317.0
2020-09-15,656.0,4225.0,14279.0,13473.0,14253.0,15285.0,8734.0,6083.0,0.0,3620.0,20.0,6717.0,10337.0
2020-09-16,658.0,4254.0,14329.0,13510.0,14299.0,15313.0,8754.0,6089.0,0.0,3625.0,21.0,6723.0,10348.0
2020-09-17,660.0,4292.0,14398.0,13562.0,14349.0,15374.0,8775.0,6098.0,0.0,3627.0,21.0,6729.0,10356.0
2020-09-18,667.0,4320.0,14474.0,13632.0,14407.0,15442.0,8799.0,6106.0,0.0,3631.0,21.0,6738.0,10369.0
2020-09-22,679.0,4440.0,14765.0,13840.0,14617.0,15633.0,8894.0,6150.0,0.0,3640.0,21.0,6757.0,10397.0
2020-09-23,680.0,4472.0,14843.0,13894.0,14669.0,15677.0,8931.0,6160.0,0.0,3645.0,21.0,6764.0,10409.0
2020-09-24,684.0,4534.0,14994.0,13967.0,14746.0,15767.0,8987.0,6174.0,0.0,3646.0,21.0,6769.0,10415.0
2020-09-25,688.0,4602.0,15172.0,14111.0,14828.0,15860.0,9026.0,6187.0,0.0,3648.0,21.0,6780.0,10428.0
2020-09-29,699.0,4737.0,15618.0,14396.0,15069.0,16073.0,9136.0,6246.0,0.0,3658.0,21.0,6813.0,10471.0
2020-09-30,710.0,4783.0,15700.0,14469.0,15143.0,16129.0,9166.0,6259.0,0.0,3661.0,21.0,6822.0,10483.0
2020-10-01,711.0,4839.0,15915.0,14630.0,15262.0,16235.0,9228.0,6288.0,0.0,3661.0,20.0,6826.0,10487.0
2020-10-02,719.0,4898.0,16072.0,14765.0,15362.0,16335.0,9285.0,6327.0,0.0,3663.0,20.0,6837.0,10500.0
2020-10-06,734.0,5050.0,16541.0,15144.0,15696.0,16625.0,9407.0,6390.0,0.0,3673.0,20.0,6865.0,10538.0
